pedido_id,data_pedido,cliente_nome,cliente_email,produto_nome,produto_categoria,quantidade,preco_unitario,total_pago,status_pedido
1018,2023/11/25,Emanuel Pinto,da-rosaantonio@da.com,Ex 84Ah,suspencao,3,163.11,489.33,cancelado
1019,2023/03/22,Stella Ribeiro,samuel16@hotmail.com,Veritatis 39Ah,suspencao,3,,,entregue
1020,2024/06/06,Kamilly da Cruz,lda-rocha@hotmail.com,Non 10W50,motr,3,625.05,1875.15,cançelado
1021,2022/09/25,Ana Julia Souza,rebecasantos,Inventore 56mm,Freio,5,400.05,2000.25,entregué
1022,2024/12/29,Daniel Fogaça,moreiraluiza@yahoo.com.br,Minima 53W50,freio,5,712.8,3564.0,em transporte
1023,2022/06/16,Maria Alice da Luz,wpeixoto@hotmail.com,Facere 40Ah,Elétrico,tres,349.09,,pendenti
1024,,Ana Peixoto,valentinada-cruz@nogueira.com,Possimus 57mm,Elétrico,4,624.81,2499.24,cancelado
1025,2023/12/01,Esther Barbosa,caiocorreia@martins.net,Expedita 73Ah,iluminacao,5,72.03,360.15,cancelado
1026,2022/07/26,Vicente das Neves,cardosoraquel@correia.com,Tempora 56mm,suspencao,1,577.63,577.63,pendente
1027,,Júlia Duarte,laraujo,Animi 47Ah,Lubrificantes,3,,,pendenti
1028,2025/03/26,Bianca da Mata,helena23@santos.com,Corrupti 27Ah,Iluminação,3,379.98,1139.94,cançelado
1029,2022/11/11,João Miguel Azevedo,jribeiro,Consequuntur 62mm,eletrico,3,601.18,1803.54,pendente
1030,2022/05/03,João Vitor Costela,joaonogueira@oliveira.net,Quisquam 48mm,Elétrico,1,493.19,493.19,cancelado
1031,2022/11/24,Nicolas Sales,novaesjoao-felipe,Dolorum 12Ah,Motor,3,418.54,1255.62,cançelado
1032,2023/02/19,Enrico Rodrigues,ylima@da.br,Placeat 13Ah,Elétrico,5,723.48,3617.4,entregue
1033,2024/07/25,Heloísa da Luz,peixotomaria@melo.com,Voluptate 34Ah,motr,2,373.98,747.96,cancelado
1034,2023/08/04,Dra. Ana Luiza Cavalcanti,davi-lucca46,Facilis 28W50,eletrico,1,876.57,876.57,entregue
1035,2023/05/10,Thiago Nogueira,melissaduarte@bol.com.br,Asperiores 78mm,Elétrico,5,668.46,3342.3,cançelado
1036,2022/07/06,Gabrielly Vieira,teixeiraian@bol.com.br,Vel 45Ah,lubrificantes,4,823.01,3292.04,pendenti
1037,2022/10/29,Marcela Peixoto,jporto,Eum 56Ah,Lubrificantes,5,693.07,3465.35,em transporte
1038,2023/09/27,Ana Carolina Rodrigues,luigiporto@hotmail.com,Quia 64mm,Lubrificantes,4,358.01,1432.04,pendente
1039,2024/02/10,Luiz Otávio Barbosa,ferreiranina@duarte.com,Fuga 89Ah,motr,4,481.78,1927.12,Em transporte
1040,2022/07/13,Maria Vitória Dias,eloah22@bol.com.br,Totam 40W50,Lubrificantes,2,152.18,304.36,cançelado
1041,2025/04/07,Maria Alice da Rocha,martinsmariana@bol.com.br,Consequuntur 61mm,freio,2,736.54,1473.08,Em transporte
1042,2023/05/25,Julia da Mota,snunes@da.br,Atque 73mm,freio,5,201.34,1006.7,cançelado
1043,2024/03/16,Letícia da Cunha,jalmeida@da.net,Repellendus 77Ah,Motor,2,759.2,1518.4,pendente
1044,2024/03/03,Lavínia Moreira,cramos@da.br,Nemo 34mm,suspencao,1,987.87,987.87,pendenti
1045,2023/07/02,Sra. Alícia Carvalho,pedro-henriqueda-paz@yahoo.com.br,Modi 26Ah,Suspensão,4,110.46,441.84,entregué
1046,2024/07/07,Camila Sales,rochakamilly@uol.com.br,Quas 85Ah,iluminacao,2,596.65,1193.3,cancelado
1047,,Arthur Vieira,tda-paz@yahoo.com.br,Voluptas 72Ah,Lubrificantes,2,598.28,1196.56,Em transporte
1048,2022/07/25,Felipe Rodrigues,leandrofogaca@viana.net,Rem 29Ah,Suspensão,4,641.84,2567.36,pendente
1049,2022/05/18,Cauê das Neves,moraesemanuel@ferreira.br,Nemo 85W50,Suspensão,3,195.59,586.77,cançelado
1050,2025/01/22,Luiz Fernando Teixeira,isisnogueira@ig.com.br,Ex 76Ah,suspencao,2,814.21,1628.42,em transporte
1051,2023/04/23,Marcelo Martins,elisa69@duarte.br,Ex 79W50,motr,2,949.73,1899.46,Em transporte
1052,2024/03/27,Alexia da Rocha,yurisilva@azevedo.org,Sequi 51W50,iluminacao,1,102.82,102.82,entregue
1053,2024/09/08,Isadora das Neves,scosta@campos.br,In 57mm,suspencao,dois,521.01,,pendenti
1054,2025/01/24,Srta. Helena Moraes,marianabarros@yahoo.com.br,Consequuntur 29mm,Lubrificantes,1,586.94,586.94,cancelado
1055,2025/01/20,Sofia Ramos,rezendeemanuel@moura.org,Ducimus 46Ah,Elétrico,4,892.77,3571.08,cançelado
1056,2022/11/25,Pietra Campos,vitorda-mata@uol.com.br,Eaque 91mm,suspencao,1,801.12,801.12,cançelado
1057,2023/05/15,Sr. Kevin Costa,jribeiro@uol.com.br,Dolorum 63Ah,Elétrico,1,831.21,831.21,pendente
1058,2024/05/16,Theo Ferreira,wmartins@correia.com,Quisquam 34mm,Elétrico,4,183.13,732.52,entregué
1059,2025/01/17,Maria Alice Araújo,caroline20@silva.org,Ullam 55Ah,Lubrificantes,4,520.54,2082.16,cancelado
1060,2024/06/12,João Vitor Pereira,antonio07@lima.com,Mollitia 13Ah,eletrico,1,276.46,276.46,pendente
1061,2022/06/12,Laura Farias,pedro-miguelmoura@gmail.com,Earum 28Ah,eletrico,1,588.74,588.74,Em transporte
1062,2024/01/21,Cauê da Cunha,nogueiraana-livia@costa.com,Iusto 40Ah,suspencao,5,681.04,3405.2,cançelado
1063,2024/05/26,Arthur da Mata,ana30@ig.com.br,Sequi 62Ah,Freio,4,963.94,3855.76,em transporte
1064,2024/01/28,Luiza da Cunha,levida-conceicao@da.br,Numquam 92W50,eletrico,1,901.94,901.94,entregué
1065,2023/10/25,Daniela da Rosa,agathaporto@uol.com.br,Voluptates 68W50,iluminacao,4,770.02,3080.08,Em transporte
1066,2023/11/25,Luiz Fernando da Cunha,moreiradavi-luiz@lima.com,Libero 21Ah,Elétrico,5,228.88,1144.4,cançelado
1067,2023/02/15,Kaique Viana,pcampos@moreira.br,Similique 94Ah,Elétrico,5,897.18,4485.9,Em transporte
1068,2022/10/06,Sr. Enrico da Luz,freitasana-julia@yahoo.com.br,Accusantium 47W50,Motor,4,,,cançelado
1069,2022/06/29,Srta. Emilly Jesus,leticiada-mota@pinto.com,Ipsum 31W50,Suspensão,5,60.9,304.5,pendenti
1070,2022/12/25,Pedro Miguel Jesus,qnogueira@peixoto.com,Ut 74Ah,freio,1,687.17,687.17,entregue
1071,2023/11/05,João Lucas Melo,bfogaca@freitas.com,Ex 49mm,Motor,3,972.33,2916.99,pendente
1072,2022/07/05,Davi Lucas Cardoso,leandro20,Sed 90W50,lubrificantes,2,830.92,1661.84,pendente
1073,2022/11/15,,eloahda-cunha@barbosa.br,Autem 14Ah,Suspensão,2,555.55,1111.1,entregué
1074,,Calebe Castro,arthurmoreira@almeida.com,Consectetur 11mm,lubrificantes,2,912.57,1825.14,entregué
1075,2023/11/25,Clara Novaes,nathanmoura@aragao.com,Repellendus 71Ah,Elétrico,1,671.82,671.82,pendenti
1076,2025/01/18,Emanuella da Mata,nunesmaria-sophia@hotmail.com,Labore 31W50,Motor,5,566.82,2834.1,cançelado
1077,2024/03/30,Otávio Costa,correiaana-vitoria@da.net,Perspiciatis 55mm,iluminacao,4,368.99,1475.96,pendenti
1078,2022/10/29,Alana da Costa,teixeiralarissa@gomes.net,Sapiente 64W50,Iluminação,5,604.8,3024.0,cançelado
1079,2025/02/03,Pedro Henrique Lopes,raquelnascimento@martins.net,Doloremque 69mm,Iluminação,5,490.54,2452.7,entregue
1080,2023/01/26,Lorena Melo,kda-mota@da.net,Deserunt 54mm,Lubrificantes,3,757.73,2273.19,pendenti
1081,2024/03/28,Eloah Barbosa,oliveiramariane@ig.com.br,Odit 88Ah,freio,4,95.27,381.08,cançelado
1082,2024/04/13,Dr. Lorenzo Rezende,kamilly79@barros.br,Ad 15W50,suspencao,tres,871.15,,Em transporte
1083,2025/04/15,Calebe Caldeira,diasalana@cardoso.br,Voluptates 67W50,Iluminação,2,586.8,1173.6,pendenti
1084,2023/11/19,Kamilly Fogaça,taraujo@gmail.com,Odit 86Ah,Suspensão,1,988.89,988.89,em transporte
1085,2022/10/24,Sr. Thiago Nunes,joao-vitornogueira@hotmail.com,Tempora 32Ah,Motor,dois,540.79,,entregue
1086,2025/01/18,Pedro Pinto,tcarvalho@yahoo.com.br,Occaecati 96W50,Iluminação,5,520.54,2602.7,pendenti
1087,2022/10/23,Thales Cardoso,pedro-henriquecarvalho@yahoo.com.br,Aut 44Ah,iluminacao,4,860.57,3442.28,cançelado
1088,2023/10/24,Dr. Marcos Vinicius Jesus,murilo59@gmail.com,Excepturi 26mm,Iluminação,3,626.14,1878.42,pendente
1089,2024/01/14,Emanuel Barbosa,gmoura@bol.com.br,Accusantium 17mm,lubrificantes,2,971.08,1942.16,em transporte
1090,2023/04/28,Daniela Ramos,salesbrenda@hotmail.com,Cumque 52mm,freio,3,758.93,2276.79,cancelado
1091,2024/05/03,Renan Pires,wlima@ig.com.br,Maiores 10Ah,eletrico,4,762.91,3051.64,entregué
1092,,Lívia da Rosa,aribeiro@ig.com.br,Explicabo 30W50,Motor,5,935.08,4675.4,pendenti
1093,2024/12/25,Bruna Almeida,cardosothiago@yahoo.com.br,Mollitia 29mm,lubrificantes,3,943.16,2829.48,pendente
1094,2025/04/16,Thomas Teixeira,maria-luizaalves@yahoo.com.br,Velit 12W50,Elétrico,1,463.27,463.27,pendenti
1095,2023/09/23,Camila Lopes,oporto@ig.com.br,Repudiandae 25mm,Lubrificantes,3,902.5,2707.5,cançelado
1096,2024/12/01,Dr. Ryan da Paz,guilherme28@gmail.com,Molestias 95Ah,suspencao,5,103.75,518.75,em transporte
1097,2023/03/03,Julia da Mota,caio78@ig.com.br,Consequuntur 45Ah,Freio,3,482.59,1447.77,cançelado
1098,2024/01/13,Ana Júlia da Cruz,marcos-vinicius22@pires.org,Minus 52W50,motr,2,758.34,1516.68,entregué
1099,2024/05/24,Maria da Paz,nferreira@ig.com.br,Natus 66W50,Lubrificantes,3,398.16,1194.48,Em transporte
1100,2023/10/11,João Guilherme Costa,vcampos@bol.com.br,Exercitationem 10W50,Freio,4,845.11,3380.44,pendente
1101,2024/04/29,Luiza da Mata,joao-vitorgomes@azevedo.com,Libero 84Ah,freio,4,381.36,1525.44,Em transporte
1102,2024/01/26,Sra. Isabel Viana,jesusmanuela@gmail.com,Distinctio 17Ah,eletrico,1,113.16,113.16,Em transporte
1103,2024/11/12,Dr. Nicolas Freitas,xcampos@nunes.com,Totam 49W50,lubrificantes,3,141.57,424.71,cancelado
1104,2024/01/25,Marcelo Lopes,maria-clara74@uol.com.br,Vel 45W50,suspencao,4,420.72,1682.88,cancelado
1105,,Sra. Eduarda Sales,pedro-lucassilva@pinto.org,Impedit 28W50,Lubrificantes,5,562.9,2814.5,entregue
1106,2024/01/06,Ana Carolina Martins,rafael08@martins.net,Fugit 43mm,lubrificantes,4,999.13,3996.52,em transporte
1107,2022/06/22,Dr. Lucas Gabriel Oliveira,fogacajoao@gmail.com,Debitis 11W50,motr,2,827.76,1655.52,pendenti
1108,2023/01/01,Milena Novaes,usouza@ramos.br,Molestias 93W50,Freio,5,988.82,4944.1,Em transporte
1109,2022/12/19,Lucas Almeida,amandacarvalho@uol.com.br,Incidunt 62mm,freio,4,180.58,722.32,cançelado
1110,2022/06/28,Leonardo Gomes,soliveira@ig.com.br,Cupiditate 65Ah,eletrico,4,170.31,681.24,pendenti
1111,,Enzo Fernandes,luiz-gustavoda-cruz@gmail.com,Velit 20Ah,freio,3,64.53,193.59,Em transporte
1112,2022/08/05,Rafael Sales,kevin64@hotmail.com,Tenetur 18Ah,Freio,5,579.24,2896.2,entregue
1113,2024/10/28,Cauê da Luz,castromaria-clara@viana.net,Nihil 66W50,motr,2,466.67,933.34,entregue
1114,2023/02/23,Srta. Kamilly da Rosa,caldeiraluiza@gmail.com,Iste 87mm,Freio,4,758.58,3034.32,cancelado
1115,2022/12/31,Dra. Lorena Silveira,silveirabenjamin@fogaca.com,Sequi 76Ah,Lubrificantes,4,736.08,2944.32,pendenti
1116,2023/12/02,André Pires,isaacpeixoto@hotmail.com,Eaque 60Ah,freio,4,941.55,3766.2,cançelado
1117,2023/04/03,Felipe Cardoso,manuelacampos@da.br,Magni 39Ah,motr,2,512.31,1024.62,Em transporte
1118,2022/08/04,Maria Vitória das Neves,noah55@yahoo.com.br,Suscipit 99Ah,Suspensão,2,927.82,1855.64,pendenti
1119,2025/02/01,Dr. Paulo Carvalho,jcaldeira@uol.com.br,In 36mm,eletrico,1,754.99,754.99,pendente
1120,2024/08/10,Maria Clara Gonçalves,enzo-gabrielaraujo@lopes.com,Modi 15Ah,Suspensão,2,924.78,1849.56,entregué
1121,2023/02/18,Ana Beatriz Porto,kcosta@gmail.com,Tenetur 32Ah,lubrificantes,5,177.11,885.55,pendenti
1122,2022/11/17,,nviana@nogueira.net,Numquam 61Ah,Suspensão,2,744.2,1488.4,pendenti
1123,2022/09/09,Maria Fernanda Silva,da-rosabeatriz@costa.com,Molestias 36Ah,freio,2,743.66,1487.32,pendenti
1124,2023/08/06,Davi Luiz Cunha,qmoreira@ig.com.br,Esse 13Ah,Elétrico,4,62.61,250.44,cançelado
1125,2024/03/25,Vitor Gabriel Fogaça,nda-conceicao@ferreira.br,Officiis 29mm,freio,5,,,entregue
1126,2024/01/01,Rebeca Fogaça,ian87@teixeira.com,Distinctio 71mm,Iluminação,4,339.23,1356.92,cançelado
1127,2024/08/01,Sr. Enrico Rodrigues,yagodias@lopes.br,Facere 40Ah,eletrico,1,972.59,972.59,entregue
1128,2024/03/17,Clarice Moura,olivia90@gmail.com,Modi 84mm,suspencao,3,275.93,827.79,Em transporte
1129,2025/02/14,Pedro Gonçalves,theoalves@yahoo.com.br,Porro 31W50,iluminacao,5,,,pendenti
1130,,Sra. Esther Moraes,esthercunha@uol.com.br,Quia 23Ah,eletrico,2,948.56,1897.12,pendenti
1131,2022/10/03,Ana Sophia Caldeira,rodriguesana-julia@uol.com.br,Dignissimos 37Ah,eletrico,1,264.47,264.47,pendenti
1132,2024/10/16,Srta. Kamilly Ribeiro,rafaela60@ig.com.br,Neque 52W50,Suspensão,4,252.89,1011.56,cançelado
1133,2023/02/01,Sr. Caio Cavalcanti,isabelly63@ig.com.br,Earum 11mm,Freio,2,317.61,635.22,entregue
1134,2024/08/26,Dr. Thiago Costa,stephany04@teixeira.br,Atque 60W50,iluminacao,5,519.47,2597.35,cançelado
1135,2024/07/08,Brenda Nogueira,ocastro@ig.com.br,Aliquam 89Ah,Iluminação,2,861.43,1722.86,entregué
1136,2022/11/25,Dra. Sabrina Costela,costarafaela@ig.com.br,Veniam 59Ah,freio,5,70.45,352.25,Em transporte
1137,2024/07/19,Dra. Joana Moraes,luiz-miguelcarvalho@gmail.com,Nobis 87W50,eletrico,4,339.5,1358.0,pendenti
1138,2025/03/10,Pietra Barbosa,luiz-otavioda-paz@melo.net,Quas 37mm,Suspensão,2,817.11,1634.22,pendenti
1139,2022/06/30,Theo Almeida,luiz-miguel12@souza.net,Excepturi 83mm,Motor,5,785.21,3926.05,em transporte
1140,2022/08/12,Alice Ferreira,melomaria-vitoria@gmail.com,Expedita 97mm,Elétrico,5,734.76,3673.8,entregue
1141,2025/04/14,Gustavo Gomes,spinto@hotmail.com,Ipsum 50mm,Lubrificantes,3,282.93,848.79,cançelado
1142,2023/10/07,Erick Oliveira,carvalhocarolina@costela.com,Quis 29mm,iluminacao,5,309.34,1546.7,pendente
1143,2022/05/29,Rebeca Cardoso,pietra67,Officiis 67W50,lubrificantes,4,158.26,633.04,Em transporte
1144,2025/04/06,Maria Clara Santos,joao-gabrielnogueira@bol.com.br,Quibusdam 42W50,Lubrificantes,5,673.92,3369.6,cançelado
1145,2024/10/03,Gustavo Rezende,isabellyporto@uol.com.br,Distinctio 29mm,Motor,3,470.61,1411.83,entregué
1146,2024/10/26,Sra. Maria Duarte,xramos,Et 56W50,suspencao,1,37.6,37.6,entregué
1147,2025/03/27,Eloah Nogueira,mariana21@da.org,Nesciunt 55Ah,Freio,4,73.88,295.52,cancelado
1148,2022/08/12,Dr. Diogo Oliveira,jesusclarice@gmail.com,Mollitia 97Ah,iluminacao,2,884.49,1768.98,entregue
1149,2024/12/19,Sabrina Correia,zjesus@ribeiro.org,Tempora 85Ah,Lubrificantes,1,165.64,165.64,entregué
1150,2023/04/17,Marcela Porto,ramosana-luiza@uol.com.br,Amet 18W50,iluminacao,5,675.62,3378.1,Em transporte
1151,2024/10/14,Clarice Teixeira,souzaheloisa,Placeat 36W50,freio,4,665.5,2662.0,entregué
1152,2023/11/22,Dr. Alexandre Aragão,ferreiraalicia,Officiis 77W50,Elétrico,2,207.65,415.3,entregue
1153,2023/05/24,Alexia Aragão,ilima@uol.com.br,Cum 16W50,eletrico,2,954.81,1909.62,pendenti
1154,2022/10/11,Francisco Almeida,carvalhodavi-lucca@jesus.br,Maxime 76Ah,freio,5,68.8,344.0,entregué
1155,2024/06/03,Sophia Moraes,csilva@moura.net,Dolor 60Ah,motr,5,409.91,2049.55,em transporte
1156,2024/01/07,Sr. Caio Caldeira,castropedro@uol.com.br,Cum 65mm,Freio,4,94.76,379.04,Em transporte
1157,2024/08/08,Nina Ribeiro,evelyn68@hotmail.com,Qui 40Ah,Iluminação,3,,,em transporte
1158,2024/04/23,Lívia Novaes,ufreitas@yahoo.com.br,Alias 15mm,suspencao,5,484.27,2421.35,entregue
1159,2023/03/09,Calebe Campos,thomas67@nascimento.br,Incidunt 25mm,Suspensão,2,864.28,1728.56,entregué
1160,2022/06/11,Luiz Gustavo Melo,santosjulia@porto.com,Repellendus 61Ah,motr,3,163.21,489.63,em transporte
1161,2024/01/08,Ana Luiza Ribeiro,dcastro@bol.com.br,Placeat 13W50,Motor,4,521.11,2084.44,pendenti
1162,2022/07/10,Pedro Lucas Almeida,amoreira@gmail.com,Perspiciatis 50Ah,iluminacao,5,952.57,4762.85,em transporte
1163,2024/02/18,Ana Júlia Jesus,carolinacostela@ramos.br,Atque 89mm,Lubrificantes,3,295.29,885.87,pendenti
1164,2024/10/22,João Miguel Jesus,costahenrique@gmail.com,Quod 75Ah,eletrico,1,298.8,298.8,cançelado
1165,2024/02/23,Stephany Barbosa,enzoramos@barbosa.br,Repudiandae 77W50,Elétrico,3,,,cancelado
1166,2023/09/19,Helena Campos,thiago82@ribeiro.br,Repudiandae 48mm,lubrificantes,3,549.75,1649.25,em transporte
1167,2024/01/07,Lucas Gabriel Pereira,heloisa30@da.br,Eveniet 30W50,Iluminação,4,426.65,1706.6,em transporte
1168,2023/02/15,Milena Pereira,bcardoso@bol.com.br,Enim 15Ah,Elétrico,2,,,entregue
1169,2024/06/27,Sra. Amanda Nogueira,julia07@yahoo.com.br,Odio 63W50,Elétrico,1,235.75,235.75,pendente
1170,2023/01/13,Thales Cunha,da-cruzgustavo@santos.com,Laudantium 29W50,eletrico,4,553.7,2214.8,pendente
1171,2023/06/12,Brenda Rodrigues,dalves@aragao.br,Quod 59mm,Iluminação,4,68.76,275.04,em transporte
1172,2022/08/22,Ana Julia Teixeira,icastro@bol.com.br,Enim 78W50,eletrico,1,52.61,52.61,em transporte
1173,,,gnascimento@gmail.com,Eligendi 25mm,iluminacao,1,911.73,911.73,Em transporte
1174,2022/06/07,Sabrina Melo,caiorodrigues@uol.com.br,Praesentium 17mm,Lubrificantes,5,985.91,4929.55,cançelado
1175,2025/02/23,Dr. Guilherme Silveira,nalves@campos.com,Rerum 47W50,Lubrificantes,4,859.82,3439.28,pendenti
1176,2025/04/03,Marcela Santos,joao-miguel32@ig.com.br,Omnis 90Ah,motr,5,294.33,1471.65,cançelado
1177,2025/03/07,Dr. Bruno Cardoso,martinsmilena@ribeiro.com,Dolores 64Ah,Elétrico,4,440.7,1762.8,cançelado
1178,2025/03/12,Sra. Maria Fernanda Barros,liviada-luz@uol.com.br,Eaque 84W50,Elétrico,1,597.14,597.14,pendente
1179,2023/03/01,Brenda Campos,earagao@pereira.com,Nulla 68W50,lubrificantes,tres,,,entregué
1180,2024/11/21,Benício da Paz,davi-lucasda-paz@gmail.com,Unde 37Ah,Suspensão,4,,,cancelado
1181,2023/11/11,Davi Lucca Costela,qgoncalves@hotmail.com,Nam 59Ah,Motor,3,57.31,171.93,cancelado
1182,2022/10/23,Dr. Heitor Farias,marinacosta@gmail.com,Totam 13W50,iluminacao,5,859.12,4295.6,entregué
1183,2025/04/11,Bianca das Neves,cavalcantidiego@da.br,Maxime 78W50,Elétrico,4,583.23,2332.92,entregue
1184,2022/07/11,Lucca Oliveira,cbarbosa@bol.com.br,Consequuntur 63W50,Suspensão,1,730.59,730.59,pendente
1185,2022/08/31,Felipe Azevedo,davi-lucasda-luz@bol.com.br,Deserunt 67mm,Suspensão,5,565.49,2827.45,entregué
1186,2022/05/13,Erick Teixeira,fariasdaniela@bol.com.br,Nulla 90Ah,eletrico,3,54.46,163.38,entregué
1187,2023/05/23,João Lima,mnascimento@gmail.com,Animi 52Ah,eletrico,1,363.38,363.38,cançelado
1188,2023/02/14,Sr. Henrique Azevedo,llopes@ramos.com,Voluptatum 48Ah,Freio,5,266.45,1332.25,cançelado
1189,2024/10/28,Emilly Nascimento,koliveira@bol.com.br,Iusto 32Ah,suspencao,1,899.94,899.94,pendenti
1190,2023/08/15,Maria Vitória da Rosa,benjamin55@da.br,Fuga 61W50,Lubrificantes,1,776.97,776.97,entregue
1191,2023/02/09,Isadora Pereira,jcarvalho@gmail.com,Eveniet 16Ah,eletrico,4,189.6,758.4,entregue
1192,2025/02/13,Carolina da Conceição,qrodrigues@santos.com,Odio 69W50,iluminacao,1,599.68,599.68,entregué
1193,2024/01/09,Davi Cunha,sophie02@cavalcanti.br,Error 21mm,eletrico,2,,,pendenti
1194,2024/11/09,Sra. Ana Luiza Farias,salespaulo@da.org,Sit 18W50,Lubrificantes,1,372.63,372.63,Em transporte
1195,2023/02/06,Anthony das Neves,emanuel85,Voluptates 10W50,Freio,1,706.83,706.83,pendenti
1196,2023/06/09,Dr. Emanuel Ribeiro,ana-liviada-cruz@ig.com.br,Sed 46mm,iluminacao,5,334.24,1671.2,em transporte
1197,2022/05/17,Alice Peixoto,da-motasabrina@hotmail.com,Laudantium 19Ah,lubrificantes,4,673.87,2695.48,entregué
1198,2024/08/09,Gabriela Ramos,da-cruzjuan@alves.br,Tenetur 61W50,Iluminação,5,504.52,2522.6,pendente
1199,2023/01/02,Sra. Esther Freitas,bcaldeira@nunes.com,Iste 13W50,Iluminação,1,513.44,513.44,pendente
1200,2024/08/10,Maria Eduarda Rodrigues,caldeiradaniel@correia.br,Praesentium 15mm,iluminacao,1,766.42,766.42,cancelado
1201,2024/09/21,Luiz Gustavo Sales,maria-julia79@lopes.com,Perspiciatis 29Ah,Lubrificantes,3,918.15,2754.45,em transporte
1202,2023/12/28,Giovanna Oliveira,stephanyda-mata@hotmail.com,Suscipit 37W50,lubrificantes,4,88.59,354.36,em transporte
1203,2024/04/27,Thiago Ribeiro,vfogaca@da.br,Dolore 65mm,Elétrico,4,725.24,2900.96,cançelado
1204,2022/07/28,Maitê Gomes,freitascarolina@gmail.com,Ducimus 12Ah,Iluminação,1,90.24,90.24,cançelado
1205,2022/06/26,Rafaela Azevedo,zda-conceicao@yahoo.com.br,Pariatur 60W50,Lubrificantes,5,298.89,1494.45,em transporte
1206,2023/06/03,Juan Azevedo,henriquealmeida@barbosa.org,Deleniti 94mm,motr,5,201.09,1005.45,pendenti
1207,2024/12/29,Emanuelly Lima,emanuella13@rocha.br,Error 62W50,Iluminação,1,371.25,371.25,cancelado
1208,2024/09/12,Laura da Cunha,pintopedro-lucas@gmail.com,Ab 68W50,freio,3,624.2,1872.6,entregue
1209,2023/03/16,Srta. Júlia Martins,biancacastro@hotmail.com,Ex 25W50,motr,3,813.44,2440.32,pendente
1210,2024/07/20,Ana Vitória Barbosa,bernardonascimento@silva.com,Iusto 92Ah,freio,4,451.51,1806.04,cancelado
1211,2022/06/18,Leandro Silveira,prodrigues@gmail.com,Laudantium 60mm,Freio,4,,,pendenti
1212,2024/01/24,Mariana Mendes,raquelmendes@gmail.com,Ea 13mm,Elétrico,3,670.99,2012.97,pendente
1213,2023/06/18,Ana Clara Souza,dcarvalho@costa.net,Dolores 76mm,motr,2,839.21,1678.42,entregué
1214,2022/10/10,Mariana da Costa,mendesanthony@yahoo.com.br,Dolore 69W50,eletrico,4,139.0,556.0,entregué
1215,2024/01/15,Vitor Moreira,lorena22@uol.com.br,Aliquid 36mm,Lubrificantes,4,505.1,2020.4,entregué
1216,2024/12/15,Sra. Clarice Cardoso,piresyasmin@da.com,Doloremque 44mm,motr,1,,,entregue
1217,2023/10/09,Renan Cunha,wcorreia@nogueira.com,Nesciunt 11Ah,Freio,um,355.58,,Em transporte
1218,2024/05/04,Isabelly Aragão,araujolaura@bol.com.br,Praesentium 91mm,Iluminação,5,605.45,3027.25,cancelado
1219,2024/02/26,Isabelly Castro,uda-paz@cavalcanti.br,A 69W50,Elétrico,tres,266.3,,pendenti
